Room,Current Residents,Key num,Total Last key,Keys on hook,Error,Other Codes,Notes,,,,,,,,,,,,,,,,,,
10,4,C33X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C33,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C34,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C35,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C36,2,1,0,,,,,,,,,,,,,,,,,,,,
10,3,C73X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C73 ,1,1,1,,,,,,,,,,,,,,,,,,,,
10,1,C74,1,1,1,,,,,,,,,,,,,,,,,,,,
10,1,C75,3,2,0,,,,,,,,,,,,,,,,,,,,
10,0,C76,2,1,-1,,,,,,,,,,,,,,,,,,,,
10,3,C81X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C81 ,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C82,2,1,0,,,,,,,,,,,,,,,,,,,,
10,0,C83,2,2,0,,,,,,,,,,,,,,,,,,,,
10,1,C84,2,1,0,,,,,,,,,,,,,,,,,,,,
10,4,C65X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C65 ,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C66,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C67,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C68,2,1,0,,,,,,,,,,,,,,,,,,,,
10,4,C45X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C45 ,1,1,1,,,,,,,,,,,,,,,,,,,,
10,1,C46,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C47,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C48,2,1,0,,,,,,,,,,,,,,,,,,,,
10,2,C141X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C141,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,1,C142,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,1,C123,2,2,1,,,,,,,,,,,,,,,,,,,,
10,4,C77X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C77 ,2,1,0,,,,,,,,,,,,,,,,,,,,
10,1,C78,2,2,1,,,,,,,,,,,,,,,,,,,,
10,1,C79,2,2,1,,,,,,,,,,,,,,,,,,,,
10,1,C80,2,0,-1,,,,,,,,,,,,,,,,,,,,
10,4,C53X,,,,,,,,,,,,,,,,,,,,,,,
10,1,C53 ,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C54,,2,3,,,,,,,,,,,,,,,,,,,,
10,1,C55,1,0,0,,,,,,,,,,,,,,,,,,,,
10,1,C56,0,3,4,,,,,,,,,,,,,,,,,,,,
9,1,J26,1,1,1,,,,,,,,,,,,,,,,,,,,
9,2,J41,,2,4,,,,,,,,,,,,,,,,,,,,
9,2,J25,3,1,0,,,,,,,,,,,,,,,,,,,,
9,2,J15,4,2,0,,,,,,,,,,,,,,,,,,,,
9,2,J16,3,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J17,3,2,0,,,,,,,,,,,,,,,,,,,,
9,2,J19,3,1,0,14AA,,,,,,,,,,,,,,,,,,,
9,1,J-52,2,1,0,,,,,,,,,,,,,,,,,,,,
9,2,J22,3,2,1,,,,,,,,,,,,,,,,,,,,
9,2,J20,3,2,1,,,,,,,,,,,,,,,,,,,,
9,2,J24,2,1,1,,,,,,,,,,,,,,,,,,,,
9,2,J21,3,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J23,3,2,0,6AA,1 with 6AA,,,,,,,,,,,,,,,,,,
9,1,J46,3,2,0,,,,,,,,,,,,,,,,,,,,
9,1,J77,,,,J71,2 for J71,,,,,,,,,,,,,,,,,,
9,0,J76,2,,,15aa,2 with 15AA,,,,,,,,,,,,,,,,,,
9,1,A91,2,,,,no 304,,,,,,,,,,,,,,,,,,
9,2,J33,3,1,0,16aa,1 with 16AA,,,,,,,,,,,,,,,,,,
9,1,16AA,3,2,0,,,,,,,,,,,,,,,,,,,,
9,2,J36,2,0,0,,,,,,,,,,,,,,,,,,,,
9,2,J34,1,2,3,,,,,,,,,,,,,,,,,,,,
9,2,J38,1,1,2,,,,,,,,,,,,,,,,,,,,
9,1,J35,3,4,2,,,,,,,,,,,,,,,,,,,,
9,2,J37,2,0,0,,,,,,,,,,,,,,,,,,,,
9,2,J40,2,0,0,,,,,,,,,,,,,,,,,,,,
9,2,J39,3,1,0,,,,,,,,,,,,,,,,,,,,
9,2,J54,3,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J62,3,,,19AA,2 with 19AA,,,,,,,,,,,,,,,,,,
9,1,J44,3,3,1,,,,,,,,,,,,,,,,,,,,
9,1,J43,3,,,18aa,2 with 18aa,,,,,,,,,,,,,,,,,,
9,1,J80,4,3,0,,,,,,,,,,,,,,,,,,,,
9,2,J27,3,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J48,3,1,-1,,,,,,,,,,,,,,,,,,,,
9,1,J47,2,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J49,2,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J50,3,1,-1,,,,,,,,,,,,,,,,,,,,
9,1,J51,3,2,0,,,,,,,,,,,,,,,,,,,,
9,1,J40,1,2,2,,,,,,,,,,,,,,,,,,,,
9,1,J53,3,2,0,,,,,,,,,,,,,,,,,,,,
9,1,J42,3,,,j82,2 keys withJ82,,,,,,,,,,,,,,,,,,
9,0,J56,3,3,0,,,,,,,,,,,,,,,,,,,,
9,1,2AA,2,,,J55,1 for J55,,,,,,,,,,,,,,,,,,
9,1,J58,3,2,0,,,,,,,,,,,,,,,,,,,,
9,2,J57,3,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J60,2,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J59,3,2,0,,,,,,,,,,,,,,,,,,,,
9,1,J62,3,2,0,,,,,,,,,,,,,,,,,,,,
9,1,J61,3,1,-1,,,,,,,,,,,,,,,,,,,,
9,1,J64,2,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J81,3,2,0,,,,,,,,,,,,,,,,,,,,
9,1,J65,2,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J66,3,1,-1,,,,,,,,,,,,,,,,,,,,
9,1,J83,2,1,0,,,,,,,,,,,,,,,,,,,,
9,1,J68,3,2,0,,,,,,,,,,,,,,,,,,,,
9,1,J79,2,,,AA72,2 for AA72,,,,,,,,,,,,,,,,,,
9,0,2AA,2,3,1,J70,3 for J70,,,,,,,,,,,,,,,,,,
8,1,265324,1,,,,,,,,,,,,,,,,,,,,,,
8,2,261124,2,2,2,,,,,,,,,,,,,,,,,,,,
8,2,261144,1,0,1,,,,,,,,,,,,,,,,,,,,
8,2,18-A,2,1,1,,,,,,,,,,,,,,,,,,,,
8,1,261544,0,1,2,,,,,,,,,,,,,,,,,,,,
8,2,8-A,1,0,1,261724,,,,,,,,,,,,,,,,,,,
8,2,263324,3,1,0,,,,,,,,,,,,,,,,,,,,
8,1,261704,1,0,0,265304,,,,,,,,,,,,,,,,,,,
8,1,263541,1,0,0,,,,,,,,,,,,,,,,,,,,
8,1,263704,2,4,3,,,,,,,,,,,,,,,,,,,,
8,1,261724,1,0,0,,,,,,,,,,,,,,,,,,,,
8,1,24B1,1,1,1,,,,,,,,,,,,,,,,,,,,
8,2,CIB11A,2,1,1,,,,,,,,,,,,,,,,,,,,
8,2,263344,1,0,1,,,,,,,,,,,,,,,,,,,,
8,2,261746,1,1,2,,,,,,,,,,,,,,,,,,,,
8,2,261564,1,2,3,,,,,,,,,,,,,,,,,,,,
8,2,261324,1,0,1,,,,,,,,,,,,,,,,,,,,
8,2,263724,1,2,3,,,,,,,,,,,,,,,,,,,,
8,1,9A,2,1,0,,,,,,,,,,,,,,,,,,,,
8,2,261344,1,1,2,,,,,,,,,,,,,,,,,,,,
8,2,265364,2,2,2,,,,,,,,,,,,,,,,,,,,
8,1,261304,1,1,1,,,,,,,,,,,,,,,,,,,,
8,2,GIB-1A,0,0,2,,,,,,,,,,,,,,,,,,,,
8,2,261104,2,2,2,,,,,,,,,,,,,,,,,,,,
8,2,263544,0,2,4,,,,,,,,,,,,,,,,,,,,
8,2,14A,1,2,3,,,,,,,,,,,,,,,,,,,,
8,1,13A,1,1,1,,,,,,,,,,,,,,,,,,,,
8,2,FX78,2,1,1,,,,,,,,,,,,,,,,,,,,
8,1,263144,1,1,1,,,,,,,,,,,,,,,,,,,,
8,2,20-A,1,0,1,,,,,,,,,,,,,,,,,,,,
8,2,FX6A,3,0,-1,,,,,,,,,,,,,,,,,,,,
8,1,19A,2,1,0,,,,,,,,,,,,,,,,,,,,
8,2,263304,1,0,1,,,,,,,,,,,,,,,,,,,,
8,2,12A,1,0,1,,,,,,,,,,,,,,,,,,,,
8,2,12A,0,0,2,,,,,,,,,,,,,,,,,,,,
7,0,S10703,2,1,-1,,,,,,,,,,,,,,,,,,,,
7,2,S10765,3,1,0,,,,,,,,,,,,,,,,,,,,
7,1,S30181,2,0,-1,FX 1A,1 key total,,,,,,,,,,,,,,,,,,
7,2,S10385,2,0,0,FX 2A,5 keys total,,,,,,,,,,,,,,,,,,
7,1,S50525,3,0,-2,"575, 2489",3 keys total,,,,,,,,,,,,,,,,,,
7,2,S50303,2,0,0,612,1 key total,,,,,,,,,,,,,,,,,,
7,1,S10701,2,1,0,,,,,,,,,,,,,,,,,,,,
7,2,S10183,2,1,1,,,,,,,,,,,,,,,,,,,,
7,2,C9A,3,0,-1,FX 5A,1 key total,,,,,,,,,,,,,,,,,,
7,1,S30743,2,2,1,S30703 (1),3 key total,,,,,,,,,,,,,,,,,,
7,1,S50121,3,2,0,,,,,,,,,,,,,,,,,,,,
7,1,S30701,2,1,0,,,,,,,,,,,,,,,,,,,,
7,2,S30703,3,1,0,,,,,,,,,,,,,,,,,,,,
7,1,S50165,4,1,-2,S58165 (1),2 keys total,,,,,,,,,,,,,,,,,,
7,2,S50525,4,0,-2,FX 10A (3),3 total ,,,,,,,,,,,,,,,,,,
7,1,S30745,2,3,2,,,,,,,,,,,,,,,,,,,,
7,2,S50141,2,2,2,,,,,,,,,,,,,,,,,,,,
7,2,S50565,3,1,0,,,,,,,,,,,,,,,,,,,,
7,1,S10381,2,0,-1,,,,,,,,,,,,,,,,,,,,
7,2,S10726,2,0,0,,,,,,,,,,,,,,,,,,,,
7,2,S50561,2,1,1,,,,,,,,,,,,,,,,,,,,
7,1,S50563,2,1,0,,,,,,,,,,,,,,,,,,,,
7,1,S30181,3,2,0,,,,,,,,,,,,,,,,,,,,
7,1,S54123,2,0,-1,"FX4A (1), 571 (1)",2 keys total,,,,,,,,,,,,,,,,,,
7,2,S10705,3,1,0,,,,,,,,,,,,,,,,,,,,
7,1,S50161,3,3,1,,,,,,,,,,,,,,,,,,,,
7,0,S52125,3,2,-1,,,,,,,,,,,,,,,,,,,,
7,1,S50541,3,2,0,No Code (1),1 key total ,,,,,,,,,,,,,,,,,,
7,0,S50365,4,2,-2,586(2),4 total,,,,,,,,,,,,,,,,,,
7,1,R52103,3,2,0,,,,,,,,,,,,,,,,,,,,
7,2,50501,3,1,0,,,,,,,,,,,,,,,,,,,,
7,1,S50345,3,2,0,,,,,,,,,,,,,,,,,,,,
7,2,S50503,5,3,0,,,,,,,,,,,,,,,,,,,,
7,1,S50123,2,2,1,,,,,,,,,,,,,,,,,,,,
7,1,S30741,2,0,-1,,,,,,,,,,,,,,,,,,,,
7,2,S10745,3,1,0,,,,,,,,,,,,,,,,,,,,
7,2,S30721,3,1,0,,,,,,,,,,,,,,,,,,,,
7,2,S30705,2,0,0,,,,,,,,,,,,,,,,,,,,
7,2,S50163,2,0,0,,,,,,,,,,,,,,,,,,,,
7,1,S30763,3,1,-1,,,,,,,,,,,,,,,,,,,,
7,1,S10147,3,2,0,,,,,,,,,,,,,,,,,,,,
7,1,S10181,4,3,0,,,,,,,,,,,,,,,,,,,,
7,1,S10761,4,3,0,,,,,,,,,,,,,,,,,,,,
7,2,S50341,2,0,0,,,,,,,,,,,,,,,,,,,,
7,2,S50145,3,0,-1,,,,,,,,,,,,,,,,,,,,
7,2,S50361,3,1,0,FX 11A (1),2 total,,,,,,,,,,,,,,,,,,
7,1,S50321,3,2,0,,,,,,,,,,,,,,,,,,,,
7,1,S50521,3,2,0,,,,,,,,,,,,,,,,,,,,
7,1,S50125,0,2,3,,,,,,,,,,,,,,,,,,,,
7,1,10743,3,2,0,,,,,,,,,,,,,,,,,,,,
7,1,S50523,3,0,-2,,,,,,,,,,,,,,,,,,,,
7,1,R52212,2,0,-1,"S50305 (1), S50523 (1)",2 total,,,,,,,,,,,,,,,,,,
7,1,S2365,3,0,-2,52365 (2),2 total,,,,,,,,,,,,,,,,,,
7,1,S30765,3,2,0,,,,,,,,,,,,,,,,,,,,
7,2,S50143,2,0,0,"S50323 (1), S50333 (1)",2 total,,,,,,,,,,,,,,,,,,
7,1,S10741,3,2,0,,,,,,,,,,,,,,,,,,,,
7,1,S10383,3,2,0,,,,,,,,,,,,,,,,,,,,
7,2,S50545,2,1,1,,,,,,,,,,,,,,,,,,,,
7,1,S30725,2,2,1,,,,,,,,,,,,,,,,,,,,
7,2,S50143,2,0,0,,,,,,,,,,,,,,,,,,,,
7,1,S30761,3,2,0,,,,,,,,,,,,,,,,,,,,
6,Staff,114GA,3,0,,,,,,,,,,,,,,,,,,,,,
6,Staff,85GA,2,0,,,,,,,,,,,,,,,,,,,,,
